id,nombre,apellido,email,sexo,dimensions,requirements,longitude,latitude
154,Thebault,Holmyard,tholmyard49@privacy.gov.au,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":5}]",-70.5792402700448,-32.3630445635413
155,Saunderson,Lortzing,slortzing4a@latimes.com,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":9}]",-70.6882210549246,-32.3104597523176
156,Emmie,Stocking,estocking4b@vimeo.com,Female,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":5},{""name"":""condicion fisica"",""score"":3}]",-70.7235418557128,-32.3634171578381
157,Terrill,McGraffin,tmcgraffin4c@arizona.edu,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":1}]",-71.3566713869998,-32.4156225436572
158,Jess,Pinck,jpinck4d@networkadvertising.org,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":7},{""name"":""pala"",""score"":1},{""name"":""alta estatura"",""score"":5},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":2},{""name"":""condicion fisica"",""score"":1}]",-71.3268269782343,-32.4459603346906
159,Marketa,Hansom,mhansom4e@macromedia.com,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":4},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":8}]",-71.4000151214548,-32.4373163506496
160,Walton,Kid,wkid4f@mapquest.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":1},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":7},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":3},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":3},{""name"":""condicion fisica"",""score"":5}]",-71.0983284798972,-32.3658374797965
161,Ignaz,Shildrick,ishildrick4g@examiner.com,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":3}]",-70.8966964308446,-32.2540199224994
162,Lawry,Dallinder,ldallinder4h@kickstarter.com,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":1},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":6},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":2},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":9}]",-70.9020843019193,-32.3206194345566
163,Marco,Showl,mshowl4i@ameblo.jp,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":4},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":2}]",-71.3266950835134,-32.5650552862037
164,Grethel,Pearmain,gpearmain4j@who.int,Female,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":2},{""name"":""cuerda"",""score"":7}]",-71.2684592015198,-32.6155569802191
165,Noami,Sheaf,nsheaf4k@google.co.jp,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":7},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":1},{""name"":""guantes"",""score"":1},{""name"":""primeros auxilios"",""score"":1},{""name"":""condicion fisica"",""score"":6}]",-71.4266002016508,-32.5926124555915
166,Johnette,Dight,jdight4l@wired.com,Female,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":9},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":10}]",-71.1697593166384,-32.8097023760019
167,Bartlett,Hame,bhame4m@jalbum.net,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":4}]",-71.136040908478,-32.8517104581493
168,Pierce,Brinklow,pbrinklow4n@tmall.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":8}]",-71.1184598614375,-32.7596902457397
169,Cati,Rogan,crogan4o@vk.com,Female,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":3},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":9},{""name"":""guantes"",""score"":8},{""name"":""primeros auxilios"",""score"":1}]",-71.0629139362448,-32.8363123523195
170,Verney,Hewins,vhewins4p@addthis.com,Male,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":3},{""name"":""primeros auxilios"",""score"":2}]",-71.1512762722364,-32.7839688037063
171,Jerome,Worms,jworms4q@so-net.ne.jp,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":4},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":2},{""name"":""alta estatura"",""score"":9},{""name"":""guantes"",""score"":7}]",-71.0201243493743,-32.8122351906711
172,Bibbye,Tarn,btarn4r@smugmug.com,Female,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":10}]",-71.3081546245278,-32.8166885182159
173,Pauly,Whybray,pwhybray4s@wikimedia.org,Male,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":7},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":1},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":9}]",-71.1843672776798,-32.8582520376373
174,Vinson,Orteaux,vorteaux4t@homestead.com,Male,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":3}]",-71.2181967771936,-32.8548265953561
175,Demott,Matveiko,dmatveiko4u@china.com.cn,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":6},{""name"":""pala"",""score"":9},{""name"":""alta estatura"",""score"":2}]",-71.2164797824085,-32.7126584439144
176,Moe,Fordyce,mfordyce4v@ftc.gov,Male,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":4},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":5}]",-71.1096666156767,-32.6529203674741
177,Merle,Ferri,mferri4w@wikia.com,Female,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":2}]",-71.1664765606722,-32.7074563216829
178,Fredelia,Kirgan,fkirgan4x@eventbrite.com,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":7},{""name"":""primeros auxilios"",""score"":6}]",-71.4461178524135,-33.632944969242
179,Blair,Aindrais,baindrais4y@home.pl,Female,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":10},{""name"":""pala"",""score"":4}]",-71.5016312143264,-33.7229729741278
180,Herbie,Wassung,hwassung4z@blinklist.com,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":7},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":9},{""name"":""condicion fisica"",""score"":4},{""name"":""casco"",""score"":9}]",-71.4957354945616,-33.6670431223062
181,Vladimir,Huccaby,vhuccaby50@scribd.com,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":8}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":3},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":3}]",-71.6042692792724,-33.3776602454085
182,Carlie,Rudeyeard,crudeyeard51@ibm.com,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":3},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":1},{""name"":""primeros auxilios"",""score"":8},{""name"":""condicion fisica"",""score"":6}]",-71.5782595180674,-33.3309405776981
183,Dulce,Abernethy,dabernethy52@free.fr,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":5},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":3}]",-71.5872272243528,-33.3856705810142
184,Wye,Buss,wbuss53@soup.io,Male,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":3}]",-71.3602886590856,-33.5396213924565
185,Marven,Syalvester,msyalvester54@apple.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":6}]",-71.4403170241836,-33.5124300567319
186,Haily,Foltin,hfoltin55@etsy.com,Female,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":8},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":3},{""name"":""pala"",""score"":6}]",-71.4328996977361,-33.5449003518585
187,Oby,Holston,oholston56@csmonitor.com,Male,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":2},{""name"":""primeros auxilios"",""score"":6},{""name"":""condicion fisica"",""score"":4},{""name"":""casco"",""score"":4}]",-71.6817784490119,-33.4095921329302
188,Stacey,Scutching,sscutching57@mapy.cz,Female,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":9},{""name"":""pala"",""score"":10}]",-71.6776486721633,-33.3967765418178
189,Tudor,Easter,teaster58@tuttocitta.it,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":5},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":5},{""name"":""alta estatura"",""score"":6},{""name"":""guantes"",""score"":3}]",-71.6145193001652,-33.4283802828448
190,Zsazsa,Jailler,zjailler59@mediafire.com,Female,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":7},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":4},{""name"":""guantes"",""score"":8},{""name"":""primeros auxilios"",""score"":9}]",-71.6548098402878,-33.4572219646624
191,Ivan,Guerin,iguerin5a@example.com,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":5},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":4},{""name"":""pala"",""score"":9},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":4},{""name"":""condicion fisica"",""score"":5},{""name"":""casco"",""score"":5}]",-71.493121715017,-33.4881726186428
192,Valaria,Amorts,vamorts5b@google.com.au,Female,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":6}]",-71.6488871515167,-33.4730905823372
193,Markos,Trussman,mtrussman5c@xing.com,Male,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":6},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":6}]",-71.6146250139607,-33.6671582695325
194,Gray,Espinel,gespinel5d@arstechnica.com,Male,"[{""name"":""Fuerza"",""score"":10},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":10}]",-71.7280943285701,-33.8561216537346
195,Barry,Raccio,braccio5e@ovh.net,Male,"[{""name"":""Fuerza"",""score"":5},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":1},{""name"":""guantes"",""score"":6},{""name"":""primeros auxilios"",""score"":1}]",-71.6432435337739,-33.7565128969068
196,Harbert,Tejero,htejero5f@wp.com,Male,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":5},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":3},{""name"":""Conocimiento"",""score"":4}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":9},{""name"":""pala"",""score"":9}]",-70.7567183653365,-32.7810433809901
197,Hermia,Endacott,hendacott5g@usda.gov,Female,"[{""name"":""Fuerza"",""score"":8},{""name"":""Destreza"",""score"":9},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":2},{""name"":""botas"",""score"":8},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":6},{""name"":""alta estatura"",""score"":4},{""name"":""guantes"",""score"":2},{""name"":""primeros auxilios"",""score"":9},{""name"":""condicion fisica"",""score"":1}]",-70.7785576977967,-32.7003721778461
198,Vidovik,Jepps,vjepps5h@yale.edu,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":1}]","[{""name"":""linterna"",""score"":10}]",-70.7151327732329,-32.7601616369113
199,Zacherie,Hullbrook,zhullbrook5i@facebook.com,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":10},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":10}]",-70.862585369862,-32.7436417451814
200,Hildegaard,Choppen,hchoppen5j@shop-pro.jp,Female,"[{""name"":""Fuerza"",""score"":6},{""name"":""Destreza"",""score"":4},{""name"":""Liderazgo"",""score"":8},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":9}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":1},{""name"":""alta estatura"",""score"":5},{""name"":""guantes"",""score"":4}]",-70.8992803788098,-32.7696194684189
201,Fredrika,Addinall,faddinall5k@marriott.com,Female,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":5},{""name"":""cuerda"",""score"":9},{""name"":""pala"",""score"":1},{""name"":""alta estatura"",""score"":1}]",-71.0072353963888,-32.7295348956636
202,Zandra,Garie,zgarie5l@stanford.edu,Female,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":5},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":10}]","[{""name"":""linterna"",""score"":10},{""name"":""botas"",""score"":7},{""name"":""cuerda"",""score"":2},{""name"":""pala"",""score"":4},{""name"":""alta estatura"",""score"":3},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":6},{""name"":""condicion fisica"",""score"":6},{""name"":""casco"",""score"":5}]",-70.8023416794991,-32.8527993931434
203,Luciano,Heinzler,lheinzler5m@ehow.com,Male,"[{""name"":""Fuerza"",""score"":2},{""name"":""Destreza"",""score"":3},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":9}]",-70.7331188696116,-32.9176036198875
204,Nataline,Sparrowhawk,nsparrowhawk5n@umn.edu,Female,"[{""name"":""Fuerza"",""score"":3},{""name"":""Destreza"",""score"":10},{""name"":""Liderazgo"",""score"":7},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":8},{""name"":""pala"",""score"":8},{""name"":""alta estatura"",""score"":5},{""name"":""guantes"",""score"":9},{""name"":""primeros auxilios"",""score"":6},{""name"":""condicion fisica"",""score"":3},{""name"":""casco"",""score"":8}]",-70.8234895040159,-32.9062012254548
205,Vanya,Hawker,vhawker5o@ycombinator.com,Male,"[{""name"":""Fuerza"",""score"":4},{""name"":""Destreza"",""score"":6},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":5}]","[{""name"":""linterna"",""score"":9}]",-70.7739534588771,-32.7898789727558
206,Teodor,Bartomeu,tbartomeu5p@amazon.de,Male,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":3},{""name"":""Motivacion"",""score"":2},{""name"":""Conocimiento"",""score"":2}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":2}]",-70.7998249069299,-32.7550948280558
207,Kalil,Beeho,kbeeho5q@privacy.gov.au,Male,"[{""name"":""Fuerza"",""score"":1},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":6},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":7},{""name"":""botas"",""score"":10},{""name"":""cuerda"",""score"":5},{""name"":""pala"",""score"":9},{""name"":""alta estatura"",""score"":10},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":9}]",-70.7899376778943,-32.7740930154167
208,Carroll,Adcock,cadcock5r@smugmug.com,Female,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":2},{""name"":""Motivacion"",""score"":8},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":4},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":10},{""name"":""alta estatura"",""score"":3},{""name"":""guantes"",""score"":10},{""name"":""primeros auxilios"",""score"":2}]",-70.5834208779764,-32.4936695321923
209,Whitaker,Atheis,watheis5s@ifeng.com,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":2},{""name"":""Liderazgo"",""score"":9},{""name"":""Motivacion"",""score"":9},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":4},{""name"":""cuerda"",""score"":4}]",-70.3798716969875,-32.2977249624412
210,Ode,Darke,odarke5t@xing.com,Male,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":7},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":4},{""name"":""Conocimiento"",""score"":3}]","[{""name"":""linterna"",""score"":6},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":3},{""name"":""alta estatura"",""score"":7},{""name"":""guantes"",""score"":4},{""name"":""primeros auxilios"",""score"":4},{""name"":""condicion fisica"",""score"":5}]",-70.4052674794709,-32.4447933009374
211,Gerald,Cafe,gcafe5u@goo.ne.jp,Male,"[{""name"":""Fuerza"",""score"":9},{""name"":""Destreza"",""score"":1},{""name"":""Liderazgo"",""score"":1},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":6}]","[{""name"":""linterna"",""score"":3},{""name"":""botas"",""score"":9},{""name"":""cuerda"",""score"":6},{""name"":""pala"",""score"":3}]",-70.6673163591718,-32.7780514312263
212,Inna,Yelyashev,iyelyashev5v@ning.com,Female,"[{""name"":""Fuerza"",""score"":7},{""name"":""Destreza"",""score"":8},{""name"":""Liderazgo"",""score"":6},{""name"":""Motivacion"",""score"":10},{""name"":""Conocimiento"",""score"":7}]","[{""name"":""linterna"",""score"":9},{""name"":""botas"",""score"":1},{""name"":""cuerda"",""score"":1},{""name"":""pala"",""score"":9},{""name"":""alta estatura"",""score"":4}]",-70.6206538904377,-32.6793703211277
